train_data,pretok,size,type,lemma_voc_pref,lemma_voc_suff,lemma_w_in_p,lemma_w_in_s,lemma_w_in_b,lemma_frtlt,form_voc_pref,form_voc_suff,form_w_in_p,form_w_in_s,form_w_in_b,form_frtlt,otok_unique_tokens,otok_total_tokens,otok_ttl/unq,ptok_unique_tokens,ptok_total_tokens,ptok_ttl/unq,fertility
sample_10_very_swedish,pretok,32000,spe_bpe,20444,11556,717,18,489,1.624236252545825,20444,11556,1054,21,667,1.6020297209133745,2759,9797,3.5509242479159115,3127,11976,3.829868883914295,1.2224150250076553
sample_10_again_very_swedish,pretok,64000,unigram,25069,38931,307,277,743,1.6334012219959266,25069,38931,272,575,868,1.770569046756071,2759,9797,3.5509242479159115,2705,13116,4.848798521256931,1.338777176686741
sample_very_swedish,pretok,64000,spe_bpe,44355,19645,733,12,687,1.420061099796334,44355,19645,1058,15,969,1.4012323305545487,2759,9797,3.5509242479159115,3118,11286,3.6196279666452855,1.1519853016229458
sample_10_again_very_swedish,pretok,64000,spe_bpe,43740,20260,736,12,684,1.420570264765784,43740,20260,1061,14,965,1.402682131206959,2759,9797,3.5509242479159115,3119,11291,3.6200705354280216,1.1524956619373277
sample_10_again_very_swedish,pretok,32000,spe_bpe,20462,11538,714,18,491,1.625763747454175,20462,11538,1053,21,669,1.602392171076477,2759,9797,3.5509242479159115,3127,11975,3.8295490885833066,1.222312952944779
sample_10_very_swedish,pretok,64000,spe_bpe,43718,20282,734,12,683,1.4210794297352343,43718,20282,1065,14,962,1.401957230880754,2759,9797,3.5509242479159115,3120,11288,3.617948717948718,1.1521894457486985
sample_very_swedish,pretok,32000,unigram,14169,17831,473,255,534,1.7260692464358451,14169,17831,449,537,626,1.868430590793766,2759,9797,3.5509242479159115,2700,13522,5.008148148148148,1.3802184342145554
sample_very_swedish,pretok,32000,spe_bpe,21127,10873,710,18,504,1.6171079429735233,21127,10873,1046,22,685,1.5926060166727074,2759,9797,3.5509242479159115,3128,11944,3.8184143222506393,1.219148718995611
sample_10_very_swedish,pretok,64000,unigram,25219,38781,304,284,741,1.644093686354379,25219,38781,280,572,865,1.7734686480608917,2759,9797,3.5509242479159115,2706,13155,4.861419068736142,1.3427579871389201
sample_10_again_very_swedish,pretok,32000,unigram,13242,18758,436,266,532,1.790224032586558,13242,18758,460,518,621,1.8901776005799202,2759,9797,3.5509242479159115,2687,13547,5.041682173427614,1.3827702357864653
sample_10_very_swedish,pretok,32000,unigram,13262,18738,437,269,529,1.7917515274949083,13262,18738,458,513,632,1.8894527002537151,2759,9797,3.5509242479159115,2686,13574,5.0536113179449,1.3855261814841278
sample_very_swedish,pretok,64000,unigram,27123,36877,348,269,747,1.5916496945010183,27123,36877,285,588,853,1.7615077926785068,2759,9797,3.5509242479159115,2717,13097,4.8203901361796095,1.3368378074920895
