train_data,pretok,size,type,lemma_voc_pref,lemma_voc_suff,lemma_w_in_p,lemma_w_in_s,lemma_w_in_b,lemma_frtlt,form_voc_pref,form_voc_suff,form_w_in_p,form_w_in_s,form_w_in_b,form_frtlt,otok_unique_tokens,otok_total_tokens,otok_ttl/unq,ptok_unique_tokens,ptok_total_tokens,ptok_ttl/unq,fertility
sample_10_again,pretok,32000,bpe_straight,0,32000,0,389,0,1.8569246435845215,0,32000,0,537,0,1.817325117796303,2759,9797,3.5509242479159115,3105,13221,4.257971014492754,1.3494947432887618
sample_10_again,straight,64000,wordpiece,0,64000,0,1290,0,1.5213849287169043,0,64000,0,1804,0,1.5186661833997825,2759,9797,3.5509242479159115,3373,11048,3.2754224725763414,1.1276921506583648
sample_10,pretok,64000,spe_bpe,36355,27645,715,13,629,1.4806517311608962,36355,27645,1039,19,879,1.4610366074664733,2759,9797,3.5509242479159115,3140,11476,3.654777070063694,1.17137899356946
sample,straight,32000,bpe_straight,0,32000,0,400,0,1.5967413441955194,0,32000,0,539,0,1.5806451612903225,2759,9797,3.5509242479159115,3172,11771,3.710907944514502,1.2014902521179953
sample_10_again,pretok,32000,spe_bpe,13807,18193,662,22,403,1.7520366598778003,13807,18193,1003,25,530,1.7343240304458136,2759,9797,3.5509242479159115,3078,12446,4.0435347628330085,1.270388894559559
sample_10,pretok,32000,wordpiece,0,32000,0,849,0,2.0,0,32000,0,1245,0,1.972816237767307,2759,9797,3.5509242479159115,2847,13214,4.64137688795223,1.3487802388486272
sample_10_very_swedish,pretok,32000,spe_bpe,20444,11556,717,18,489,1.624236252545825,20444,11556,1054,21,667,1.6020297209133745,2759,9797,3.5509242479159115,3127,11976,3.829868883914295,1.2224150250076553
sample,straight,32000,spe_bpe,17934,14066,698,10,435,1.6710794297352343,17934,14066,1060,9,543,1.66618339978253,2759,9797,3.5509242479159115,3369,11647,3.4571089344018997,1.188833316321323
sample,pretok,64000,spe_bpe,40528,23472,726,13,660,1.44959266802444,40528,23472,1039,17,934,1.43240304458137,2759,9797,3.5509242479159115,3131,11381,3.6349409134461834,1.161682147596203
sample_10,straight,32000,wordpiece,0,32000,0,822,0,2.033095723014257,0,32000,0,1163,0,2.03660746647336,2759,9797,3.5509242479159115,3008,13143,4.3693484042553195,1.3415331223844034
